Algorithm,Dataset,Gamma,Beta1,Beta2,Round,Global_Validation_Loss,F1_Score,Top1_Accuracy_Percent,Num_Selected_Clients,Num_Total_Clients,Num_Model_Params,Round_Time_Sec,Client_Time_Sec,Server_Time_Sec,Spatial_Var_Time_Sec,Peak_Memory_MB,Seed
FedHST,FashionMNIST,0.5,0.7,0.9999,21,0.4758734413146973,0.833916054428846,83.4,26,100,54410,9.351351976394653,9.338788032531738,0.012563943862915039,0.011846780776977539,122.98095703125,1
FedHST,FashionMNIST,0.5,0.7,0.9999,22,0.5228765055894852,0.8196713014254737,82.43,20,100,54410,10.040817737579346,10.031164169311523,0.009653568267822266,0.008959293365478516,122.98095703125,1
FedHST,FashionMNIST,0.5,0.7,0.9999,23,0.5157394617795944,0.8130101058722314,82.24,28,100,54410,11.904041528701782,11.892918348312378,0.011123180389404297,0.010616064071655273,122.98095703125,1
FedHST,FashionMNIST,0.5,0.7,0.9999,24,0.4617886773109436,0.8286190984296843,83.6,23,100,54410,8.187390565872192,8.176536560058594,0.010854005813598633,0.010214090347290039,122.98095703125,1
FedHST,FashionMNIST,0.5,0.7,0.9999,25,0.4137609659671783,0.8496541591391683,85.5,28,100,54410,12.3004310131073,12.288127183914185,0.012303829193115234,0.011666536331176758,122.98095703125,1
FedHST,FashionMNIST,0.5,0.7,0.9999,26,0.42644927110672,0.8456038336616863,85.08,23,100,54410,10.056193828582764,10.045698404312134,0.010495424270629883,0.009853601455688477,122.98095703125,1
FedHST,FashionMNIST,0.5,0.7,0.9999,27,0.4703670434474945,0.8259534354462745,83.43,27,100,54410,10.05030107498169,10.037806510925293,0.012494564056396484,0.011837482452392578,122.98095703125,1
FedHST,FashionMNIST,0.5,0.7,0.9999,28,0.45062739548683167,0.8370741181079936,84.36,22,100,54410,8.897985219955444,8.888644933700562,0.009340286254882812,0.008831501007080078,122.98095703125,1
FedHST,FashionMNIST,0.5,0.7,0.9999,29,0.4317305212020874,0.8376340991629118,84.87,30,100,54410,11.573431015014648,11.561031818389893,0.01239919662475586,0.011775493621826172,122.98095703125,1
FedHST,FashionMNIST,0.5,0.7,0.9999,30,0.5305548166275025,0.8018689973041677,81.88,20,100,54410,9.92419695854187,9.916120052337646,0.008076906204223633,0.007498979568481445,122.98095703125,1
FedHST,FashionMNIST,0.5,0.7,0.9999,31,0.4415412335395813,0.8330951479612189,84.15,30,100,54410,12.463284492492676,12.450491428375244,0.01279306411743164,0.012145042419433594,122.98095703125,1
FedHST,FashionMNIST,0.5,0.7,0.9999,32,0.4213132524013519,0.8454368290645343,84.9,24,100,54410,11.97350001335144,11.963418960571289,0.010081052780151367,0.009449005126953125,122.98095703125,1
FedHST,FashionMNIST,0.5,0.7,0.9999,33,0.38139121651649477,0.8618494467418248,86.32,21,100,54410,9.737558603286743,9.728012800216675,0.00954580307006836,0.008907556533813477,122.98095703125,1
FedHST,FashionMNIST,0.5,0.7,0.9999,34,0.4088263113737106,0.8517542623042743,85.42,30,100,54410,12.979232788085938,12.967798233032227,0.011434555053710938,0.010859012603759766,122.98095703125,1
FedHST,FashionMNIST,0.5,0.7,0.9999,35,0.46400798687934874,0.8269261647276368,83.22,20,100,54410,8.019340753555298,8.01089096069336,0.008449792861938477,0.007893085479736328,122.98095703125,1
FedHST,FashionMNIST,0.5,0.7,0.9999,36,0.425349364900589,0.8458200770339561,84.87,22,100,54410,10.1767258644104,10.166538953781128,0.010186910629272461,0.009527206420898438,122.98095703125,1
FedHST,FashionMNIST,0.5,0.7,0.9999,37,0.3725794228792191,0.8661276515609769,86.78,30,100,54410,17.19379186630249,17.18001699447632,0.013774871826171875,0.013122320175170898,122.98095703125,1
FedHST,FashionMNIST,0.5,0.7,0.9999,38,0.4221052083015442,0.8467492787609446,84.86,29,100,54410,12.975381851196289,12.961997032165527,0.013384819030761719,0.012699127197265625,122.98095703125,1
FedHST,FashionMNIST,0.5,0.7,0.9999,39,0.4041381408929825,0.853555740647467,85.68,28,100,54410,12.077304363250732,12.065515995025635,0.011788368225097656,0.011193037033081055,122.98095703125,1
FedHST,FashionMNIST,0.5,0.7,0.9999,40,0.3913873020172119,0.8591904863905766,86.28,22,100,54410,10.52351427078247,10.513921737670898,0.009592533111572266,0.009002923965454102,122.98095703125,1
FedHST,FashionMNIST,0.5,0.7,0.9999,41,0.41913823087215424,0.8497280434348106,85.31,21,100,54410,8.505346298217773,8.495435237884521,0.009911060333251953,0.009311676025390625,122.98095703125,1
