Algorithm,Dataset,Gamma,Beta1,Beta2,Round,Global_Validation_Loss,F1_Score,Top1_Accuracy_Percent,Num_Selected_Clients,Num_Total_Clients,Num_Model_Params,Round_Time_Sec,Client_Time_Sec,Server_Time_Sec,Spatial_Var_Time_Sec,Peak_Memory_MB,Alpha_Config
FedHST,FashionMNIST,0.5,0.9,0.999,20,0.40934323217868807,0.8578254786313714,86.13,28,100,54410,4.0919508934021,4.08043646812439,0.011514425277709961,0.010961532592773438,122.98046875,100.0
FedHST,FashionMNIST,0.5,0.9,0.999,21,0.4076692082166672,0.8532061294548574,85.78,24,100,54410,3.6579389572143555,3.647273540496826,0.010665416717529297,0.010074377059936523,122.98046875,100.0
FedHST,FashionMNIST,0.5,0.9,0.999,22,0.3981672469139099,0.8533370327407651,85.78,26,100,54410,3.852574586868286,3.8414719104766846,0.011102676391601562,0.010491132736206055,122.98046875,100.0
FedHST,FashionMNIST,0.5,0.9,0.999,23,0.38017415549755096,0.860462110598385,86.39,28,100,54410,4.077797889709473,4.0652101039886475,0.012587785720825195,0.011995792388916016,122.98046875,100.0
FedHST,FashionMNIST,0.5,0.9,0.999,24,0.36837453529834746,0.867130448587711,86.91,23,100,54410,3.314687728881836,3.3049747943878174,0.009712934494018555,0.009116649627685547,122.98046875,100.0
FedHST,FashionMNIST,0.5,0.9,0.999,25,0.36590853106975557,0.8694536760292275,87.03,29,100,54410,4.370486497879028,4.357615232467651,0.012871265411376953,0.012232780456542969,122.98046875,100.0
FedHST,FashionMNIST,0.5,0.9,0.999,26,0.3687805646419525,0.8698133299547708,87.01,26,100,54410,4.029763460159302,4.018829107284546,0.01093435287475586,0.010406970977783203,122.98046875,100.0
FedHST,FashionMNIST,0.5,0.9,0.999,27,0.3697326159238815,0.8681901894789845,86.84,27,100,54410,4.166579484939575,4.154449462890625,0.012130022048950195,0.011510610580444336,122.98046875,100.0
FedHST,FashionMNIST,0.5,0.9,0.999,28,0.3660834956645966,0.8699314086535216,87.04,30,100,54410,4.642611980438232,4.629521131515503,0.013090848922729492,0.012471437454223633,122.98095703125,100.0
FedHST,FashionMNIST,0.5,0.9,0.999,29,0.35922432827949524,0.8729284716088671,87.42,25,100,54410,3.945955753326416,3.934286594390869,0.011669158935546875,0.011053323745727539,122.98095703125,100.0
FedHST,FashionMNIST,0.5,0.9,0.999,30,0.3514878372907639,0.8767770804504782,87.87,28,100,54410,4.178343772888184,4.166985988616943,0.011357784271240234,0.010744333267211914,122.98095703125,100.0
