Algorithm,Dataset,Gamma,Beta1,Beta2,Round,Global_Validation_Loss,F1_Score,Top1_Accuracy_Percent,Num_Selected_Clients,Num_Total_Clients,Num_Model_Params,Round_Time_Sec,Client_Time_Sec,Server_Time_Sec,Spatial_Var_Time_Sec,Peak_Memory_MB,Num_Clients_Config
FedAdam,FashionMNIST,,0.9,0.999,21,1.2915144901275635,0.6493562359173748,69.4,4,20,54410,2.500525951385498,2.498051404953003,0.002474546432495117,,84.513671875,20
FedAdam,FashionMNIST,,0.9,0.999,22,1.075558427333832,0.6654950848178507,71.63,4,20,54410,3.277513027191162,3.275259494781494,0.0022535324096679688,,84.513671875,20
FedAdam,FashionMNIST,,0.9,0.999,23,0.8239047184944153,0.7396310261884355,76.31,4,20,54410,2.677577018737793,2.6752610206604004,0.002315998077392578,,84.513671875,20
FedAdam,FashionMNIST,,0.9,0.999,24,0.711277555513382,0.7681616977540506,77.96,4,20,54410,3.5059988498687744,3.5035839080810547,0.0024149417877197266,,84.513671875,20
FedAdam,FashionMNIST,,0.9,0.999,25,0.9501808929920197,0.7159100473111837,74.15,5,20,54410,4.421249866485596,4.418390512466431,0.002859354019165039,,84.513671875,20
FedAdam,FashionMNIST,,0.9,0.999,26,1.7090363204956054,0.6560935978356232,68.77,5,20,54410,4.180921316146851,4.178118467330933,0.0028028488159179688,,84.513671875,20
FedAdam,FashionMNIST,,0.9,0.999,27,1.1181574407577515,0.687961824051294,71.33,4,20,54410,1.7015974521636963,1.6991684436798096,0.0024290084838867188,,84.513671875,20
FedAdam,FashionMNIST,,0.9,0.999,28,0.5669766198635101,0.8164577161063274,81.47,6,20,54410,3.217463493347168,3.214855909347534,0.002607583999633789,,84.513671875,20
FedAdam,FashionMNIST,,0.9,0.999,29,0.6442368579387665,0.7959383358396378,80.09,5,20,54410,3.028581380844116,3.0257246494293213,0.002856731414794922,,84.513671875,20
FedAdam,FashionMNIST,,0.9,0.999,30,0.9975276970863343,0.6992495160901765,73.32,4,20,54410,2.8143346309661865,2.8117051124572754,0.002629518508911133,,84.513671875,20
FedAdam,FashionMNIST,,0.9,0.999,31,1.5030635108947754,0.6477982535577661,70.91,6,20,54410,4.715678453445435,4.712908983230591,0.00276947021484375,,84.513671875,20
FedAdam,FashionMNIST,,0.9,0.999,32,0.8183747197628021,0.7769105396376464,80.47,4,20,54410,2.136258363723755,2.1337835788726807,0.0024747848510742188,,84.513671875,20
FedAdam,FashionMNIST,,0.9,0.999,33,0.9433187883853912,0.7430409704397329,76.75,6,20,54410,3.252537727355957,3.2497406005859375,0.0027971267700195312,,84.513671875,20
FedAdam,FashionMNIST,,0.9,0.999,34,1.2325131614208222,0.7057751701354152,72.9,4,20,54410,1.4931848049163818,1.4908137321472168,0.002371072769165039,,84.513671875,20
FedAdam,FashionMNIST,,0.9,0.999,35,1.2847631067276002,0.7110960982151352,72.35,5,20,54410,3.24601149559021,3.2432620525360107,0.0027494430541992188,,84.513671875,20
FedAdam,FashionMNIST,,0.9,0.999,36,1.1463773371696473,0.7084479998633773,72.51,4,20,54410,3.5221474170684814,3.5197508335113525,0.0023965835571289062,,84.513671875,20
FedAdam,FashionMNIST,,0.9,0.999,37,1.024296632194519,0.7237161603164218,75.74,4,20,54410,2.5934178829193115,2.5906460285186768,0.0027718544006347656,,84.513671875,20
FedAdam,FashionMNIST,,0.9,0.999,38,1.6292023246765137,0.6014811632631978,65.85,5,20,54410,4.715683698654175,4.7128987312316895,0.0027849674224853516,,84.513671875,20
FedAdam,FashionMNIST,,0.9,0.999,39,2.3217111473083496,0.5973700257658437,64.86,4,20,54410,3.347094774246216,3.3449912071228027,0.002103567123413086,,84.513671875,20
FedAdam,FashionMNIST,,0.9,0.999,40,2.3671800453186034,0.6322697541672209,68.1,4,20,54410,3.1421937942504883,3.140185832977295,0.0020079612731933594,,84.513671875,20
FedAdam,FashionMNIST,,0.9,0.999,41,2.4450346061706543,0.6306477058633371,68.32,4,20,54410,2.911044120788574,2.9085500240325928,0.0024940967559814453,,84.513671875,20
FedAdam,FashionMNIST,,0.9,0.999,42,1.016396461892128,0.7383370950768666,75.25,4,20,54410,2.1680777072906494,2.1659884452819824,0.002089262008666992,,84.513671875,20
FedAdam,FashionMNIST,,0.9,0.999,43,0.8568531828403473,0.766494383235886,77.39,4,20,54410,3.3959195613861084,3.3934695720672607,0.0024499893188476562,,84.513671875,20
FedAdam,FashionMNIST,,0.9,0.999,44,1.963845643901825,0.679944986263243,70.26,5,20,54410,4.914052724838257,4.911365270614624,0.0026874542236328125,,84.513671875,20
FedAdam,FashionMNIST,,0.9,0.999,45,2.742223934173584,0.6530295589200359,67.46,5,20,54410,4.144014358520508,4.141203165054321,0.0028111934661865234,,84.513671875,20
FedAdam,FashionMNIST,,0.9,0.999,46,2.841021210193634,0.6413117778678697,67.05,4,20,54410,3.6383914947509766,3.6361184120178223,0.002273082733154297,,84.513671875,20
FedAdam,FashionMNIST,,0.9,0.999,47,2.486680755519867,0.6562181593432814,69.14,6,20,54410,6.1048524379730225,6.101985692977905,0.0028667449951171875,,84.513671875,20
FedAdam,FashionMNIST,,0.9,0.999,48,1.8804421245574952,0.6875754884854828,72.32,6,20,54410,3.388953685760498,3.38629412651062,0.0026595592498779297,,84.513671875,20
FedAdam,FashionMNIST,,0.9,0.999,49,1.2660697978019715,0.744351912181792,76.55,4,20,54410,2.4327430725097656,2.4305531978607178,0.0021898746490478516,,84.513671875,20
FedAdam,FashionMNIST,,0.9,0.999,50,1.0322246480464936,0.7392638426416023,74.9,5,20,54410,2.5931801795959473,2.5906527042388916,0.002527475357055664,,84.513671875,20
FedHST,FashionMNIST,0.5,0.9,0.999,1,2.809096427154541,0.12331691011850074,19.37,6,20,54410,3.446337938308716,3.44236159324646,0.003976345062255859,0.003372669219970703,84.3037109375,20
FedHST,FashionMNIST,0.5,0.9,0.999,2,3.3241389987945555,0.18212931227692947,32.03,6,20,54410,5.123241186141968,5.11998438835144,0.0032567977905273438,0.0027387142181396484,84.517578125,20
FedHST,FashionMNIST,0.5,0.9,0.999,3,3.741940604019165,0.2616893983098135,38.28,4,20,54410,3.2269604206085205,3.2240195274353027,0.0029408931732177734,0.002323627471923828,84.517578125,20
FedHST,FashionMNIST,0.5,0.9,0.999,4,3.5528719223022462,0.35471337037747197,46.47,6,20,54410,4.281585693359375,4.278210401535034,0.0033752918243408203,0.002857208251953125,84.517578125,20
FedHST,FashionMNIST,0.5,0.9,0.999,5,2.953570820236206,0.5267568582884739,59.18,5,20,54410,4.461219310760498,4.457764625549316,0.0034546852111816406,0.002875089645385742,84.517578125,20
FedHST,FashionMNIST,0.5,0.9,0.999,6,2.5047940032958986,0.5354656846816546,60.19,4,20,54410,2.905982255935669,2.902768611907959,0.003213644027709961,0.002627134323120117,84.517578125,20
FedHST,FashionMNIST,0.5,0.9,0.999,7,2.139809425354004,0.5004714737412332,58.54,5,20,54410,4.263446807861328,4.260168790817261,0.003278017044067383,0.0027379989624023438,84.517578125,20
FedHST,FashionMNIST,0.5,0.9,0.999,8,2.2939490461349488,0.5478234155357394,63.91,6,20,54410,3.485583543777466,3.481764316558838,0.0038192272186279297,0.003305196762084961,84.517578125,20
FedHST,FashionMNIST,0.5,0.9,0.999,9,1.4264095316886902,0.6337437615790463,69.41,5,20,54410,3.125598192214966,3.1216509342193604,0.003947257995605469,0.0032956600189208984,84.517578125,20
FedHST,FashionMNIST,0.5,0.9,0.999,10,1.7042377592086793,0.6046644787461648,65.68,6,20,54410,3.5487477779388428,3.5447521209716797,0.003995656967163086,0.003368854522705078,84.517578125,20
FedHST,FashionMNIST,0.5,0.9,0.999,11,1.9682987659454345,0.5686404739559243,61.39,5,20,54410,4.208149671554565,4.2049241065979,0.003225564956665039,0.0027379989624023438,84.517578125,20
FedHST,FashionMNIST,0.5,0.9,0.999,12,1.8128355434417724,0.6246952157760892,66.72,4,20,54410,1.4920451641082764,1.488893985748291,0.0031511783599853516,0.0025920867919921875,84.517578125,20
FedHST,FashionMNIST,0.5,0.9,0.999,13,1.8544546951293945,0.6380017823176635,66.76,4,20,54410,1.8494763374328613,1.8464608192443848,0.0030155181884765625,0.0025031566619873047,84.517578125,20
FedHST,FashionMNIST,0.5,0.9,0.999,14,1.7246818181991577,0.6415438950862873,67.49,6,20,54410,4.130800485610962,4.127054691314697,0.0037457942962646484,0.0031015872955322266,84.517578125,20
FedHST,FashionMNIST,0.5,0.9,0.999,15,1.4712114221572876,0.6146681959185185,66.7,5,20,54410,3.119213104248047,3.1154093742370605,0.003803730010986328,0.003208637237548828,84.517578125,20
FedHST,FashionMNIST,0.5,0.9,0.999,16,1.1842141229629517,0.6242346536290622,67.96,5,20,54410,3.2651946544647217,3.2615630626678467,0.003631591796875,0.0030281543731689453,84.517578125,20
FedHST,FashionMNIST,0.5,0.9,0.999,17,0.9389993840217591,0.696752514884819,72.16,6,20,54410,3.4218668937683105,3.417924165725708,0.003942728042602539,0.0033788681030273438,84.517578125,20
FedHST,FashionMNIST,0.5,0.9,0.999,18,0.6733393184661866,0.7704824559818036,78.14,4,20,54410,2.0638630390167236,2.060565948486328,0.003297090530395508,0.0026617050170898438,84.517578125,20
FedHST,FashionMNIST,0.5,0.9,0.999,19,0.5939396543979645,0.7955099621666925,80.21,4,20,54410,3.992870330810547,3.9902164936065674,0.002653837203979492,0.002151012420654297,84.517578125,20
FedHST,FashionMNIST,0.5,0.9,0.999,20,0.666960543346405,0.7712612357119364,78.19,6,20,54410,3.2676594257354736,3.26385235786438,0.00380706787109375,0.0032689571380615234,84.517578125,20
FedHST,FashionMNIST,0.5,0.9,0.999,21,0.6682110847949981,0.7745165702538985,78.5,4,20,54410,2.5183043479919434,2.5149428844451904,0.0033614635467529297,0.0027284622192382812,84.517578125,20
FedHST,FashionMNIST,0.5,0.9,0.999,22,0.69264016623497,0.7694067089696616,77.73,4,20,54410,3.2553887367248535,3.252187967300415,0.0032007694244384766,0.0026209354400634766,84.517578125,20
