Algorithm,Dataset,Gamma,Beta1,Beta2,Round,Global_Validation_Loss,F1_Score,Top1_Accuracy_Percent,Num_Selected_Clients,Num_Total_Clients,Num_Model_Params,Round_Time_Sec,Client_Time_Sec,Server_Time_Sec,Spatial_Var_Time_Sec,Peak_Memory_MB,Participation_Frac
FedAdam,FashionMNIST,,0.9,0.999,44,0.5552094149589538,0.8037113957365095,80.87,5,100,54410,0.6682026386260986,0.6653475761413574,0.002855062484741211,,118.787109375,0.05-0.10
FedAdam,FashionMNIST,,0.9,0.999,45,0.6055818954944611,0.7900532495988533,79.04,6,100,54410,1.6302709579467773,1.627434492111206,0.002836465835571289,,118.787109375,0.05-0.10
FedAdam,FashionMNIST,,0.9,0.999,46,0.6810404495716095,0.75243464446702,75.98,10,100,54410,1.070998191833496,1.0673584938049316,0.003639698028564453,,118.787109375,0.05-0.10
FedAdam,FashionMNIST,,0.9,0.999,47,0.7394428046226501,0.729088641425259,74.28,6,100,54410,0.9783282279968262,0.9754855632781982,0.0028426647186279297,,118.787109375,0.05-0.10
FedAdam,FashionMNIST,,0.9,0.999,48,0.7374880120277405,0.7341386479188443,75.01,5,100,54410,0.9577934741973877,0.955174446105957,0.002619028091430664,,118.787109375,0.05-0.10
FedAdam,FashionMNIST,,0.9,0.999,49,0.5912081283330918,0.7835402517910113,78.38,5,100,54410,0.8321793079376221,0.829277753829956,0.0029015541076660156,,118.787109375,0.05-0.10
FedAdam,FashionMNIST,,0.9,0.999,50,0.5470234669685364,0.8088928115596763,80.83,7,100,54410,1.1209540367126465,1.1176798343658447,0.003274202346801758,,118.787109375,0.05-0.10
FedHST,FashionMNIST,0.5,0.9,0.999,1,2.3896687534332277,0.20989688519730101,25.44,10,100,54410,1.4172399044036865,1.4116172790527344,0.0056226253509521484,0.0050258636474609375,118.5771484375,0.05-0.10
FedHST,FashionMNIST,0.5,0.9,0.999,2,2.9555042236328126,0.24276177269173288,33.34,5,100,54410,0.6420507431030273,0.6384332180023193,0.003617525100708008,0.0030333995819091797,118.5771484375,0.05-0.10
FedHST,FashionMNIST,0.5,0.9,0.999,3,2.723968886566162,0.23609707220276901,32.57,6,100,54410,1.4347541332244873,1.4307012557983398,0.004052877426147461,0.0034406185150146484,118.5771484375,0.05-0.10
FedHST,FashionMNIST,0.5,0.9,0.999,4,2.698288671875,0.17378837521690732,28.29,10,100,54410,1.656146764755249,1.6507816314697266,0.005365133285522461,0.004694700241088867,118.791015625,0.05-0.10
FedHST,FashionMNIST,0.5,0.9,0.999,5,2.610173948287964,0.2618015015613219,36.62,6,100,54410,0.3345661163330078,0.33063483238220215,0.003931283950805664,0.003312826156616211,118.791015625,0.05-0.10
FedHST,FashionMNIST,0.5,0.9,0.999,6,2.195197940254211,0.36736254407672175,48.1,7,100,54410,1.1763947010040283,1.1718330383300781,0.004561662673950195,0.003960371017456055,118.791015625,0.05-0.10
FedHST,FashionMNIST,0.5,0.9,0.999,7,1.541952932548523,0.594975703153996,64.94,7,100,54410,1.588578462600708,1.5839488506317139,0.004629611968994141,0.004034996032714844,118.791015625,0.05-0.10
FedHST,FashionMNIST,0.5,0.9,0.999,8,1.2153170637130737,0.6026407056506,65.1,9,100,54410,1.090707540512085,1.0853674411773682,0.005340099334716797,0.00468897819519043,118.791015625,0.05-0.10
FedHST,FashionMNIST,0.5,0.9,0.999,9,1.3628149486541747,0.5739837744518973,60.85,10,100,54410,1.6633663177490234,1.6579947471618652,0.005371570587158203,0.004790782928466797,118.79248046875,0.05-0.10
FedHST,FashionMNIST,0.5,0.9,0.999,10,2.0185611909866332,0.4197334499667555,49.91,6,100,54410,0.5733072757720947,0.5691273212432861,0.004179954528808594,0.0035533905029296875,118.79248046875,0.05-0.10
FedHST,FashionMNIST,0.5,0.9,0.999,11,2.456875849533081,0.3596903078834857,45.13,10,100,54410,1.8405647277832031,1.8352723121643066,0.005292415618896484,0.0046122074127197266,118.79248046875,0.05-0.10
FedHST,FashionMNIST,0.5,0.9,0.999,12,2.212630542564392,0.4227180784824083,50.58,8,100,54410,1.4621055126190186,1.4579193592071533,0.004186153411865234,0.0035398006439208984,118.79248046875,0.05-0.10
FedHST,FashionMNIST,0.5,0.9,0.999,13,1.7912197256088256,0.49595096454136367,56.46,5,100,54410,0.45874643325805664,0.4550631046295166,0.003683328628540039,0.0030655860900878906,118.79248046875,0.05-0.10
FedHST,FashionMNIST,0.5,0.9,0.999,14,1.6044697923660278,0.5270863104308984,57.78,5,100,54410,0.39004015922546387,0.3863673210144043,0.0036728382110595703,0.0030782222747802734,118.79248046875,0.05-0.10
