Algorithm,Dataset,Gamma,Beta1,Beta2,Round,Global_Validation_Loss,F1_Score,Top1_Accuracy_Percent,Num_Selected_Clients,Num_Total_Clients,Num_Model_Params,Round_Time_Sec,Client_Time_Sec,Server_Time_Sec,Spatial_Var_Time_Sec,Peak_Memory_MB,Sweep_Type
FedHST,FashionMNIST,0.5,0.7,0.999,37,0.37973556549549103,0.870175032017549,87.14,22,100,54410,3.982154607772827,3.972900152206421,0.00925445556640625,0.008739471435546875,122.98095703125,beta1
FedHST,FashionMNIST,0.5,0.7,0.999,38,0.4223885828256607,0.8441251079524535,84.06,25,100,54410,3.1226823329925537,3.111326217651367,0.011356115341186523,0.010748863220214844,122.98095703125,beta1
FedHST,FashionMNIST,0.5,0.7,0.999,39,0.3961701314687729,0.8552162195343271,85.66,27,100,54410,4.444429159164429,4.433176279067993,0.011252880096435547,0.01067972183227539,122.98095703125,beta1
FedHST,FashionMNIST,0.5,0.7,0.999,40,0.378787585067749,0.8646379141524381,86.77,27,100,54410,4.031953573226929,4.0208821296691895,0.011071443557739258,0.01049947738647461,122.98095703125,beta1
FedHST,FashionMNIST,0.5,0.7,0.999,41,0.3772026039838791,0.8654466513572598,86.93,26,100,54410,4.116795778274536,4.105078458786011,0.01171731948852539,0.011044979095458984,122.98095703125,beta1
FedHST,FashionMNIST,0.5,0.7,0.999,42,0.38852748079299926,0.860263981479066,86.38,28,100,54410,4.248658895492554,4.236435413360596,0.012223482131958008,0.011654138565063477,122.98095703125,beta1
FedHST,FashionMNIST,0.5,0.7,0.999,43,0.3845463006258011,0.8626654917896237,86.52,26,100,54410,3.5841567516326904,3.572040319442749,0.012116432189941406,0.011463165283203125,122.98095703125,beta1
FedHST,FashionMNIST,0.5,0.7,0.999,44,0.400733914065361,0.8538628368962247,85.91,29,100,54410,4.666337966918945,4.654170989990234,0.012166976928710938,0.01148676872253418,122.98095703125,beta1
FedHST,FashionMNIST,0.5,0.7,0.999,45,0.3873353794336319,0.859057056378037,86.28,26,100,54410,2.727992534637451,2.717576503753662,0.010416030883789062,0.009941816329956055,122.98095703125,beta1
FedHST,FashionMNIST,0.5,0.7,0.999,46,0.38239321660995484,0.8589627026564319,86.14,30,100,54410,4.449387073516846,4.437574863433838,0.011812210083007812,0.011193037033081055,122.98095703125,beta1
