Algorithm,Dataset,Gamma,Beta1,Beta2,Round,Global_Validation_Loss,F1_Score,Top1_Accuracy_Percent,Num_Selected_Clients,Num_Total_Clients,Num_Model_Params,Round_Time_Sec,Client_Time_Sec,Server_Time_Sec,Spatial_Var_Time_Sec,Peak_Memory_MB,Local_Epochs_Config
FedHST,FashionMNIST,0.5,0.9,0.999,7,0.8002981030464172,0.6957793918050792,71.21,28,100,54410,4.160550355911255,4.149425506591797,0.011124849319458008,0.010577678680419922,122.98046875,1
FedHST,FashionMNIST,0.5,0.9,0.999,8,0.8347495900154114,0.6619187845865934,69.54,24,100,54410,3.2944421768188477,3.285003423690796,0.009438753128051758,0.008868694305419922,122.98046875,1
FedHST,FashionMNIST,0.5,0.9,0.999,9,0.8077207558631897,0.6581680698735044,69.49,25,100,54410,3.1352896690368652,3.1244893074035645,0.010800361633300781,0.010248899459838867,122.98046875,1
FedHST,FashionMNIST,0.5,0.9,0.999,10,0.7754443742752075,0.6588422120009255,68.58,20,100,54410,2.6431453227996826,2.634669065475464,0.00847625732421875,0.007918357849121094,122.98046875,1
FedHST,FashionMNIST,0.5,0.9,0.999,11,0.7025494688034057,0.7188845456152464,72.87,20,100,54410,2.130293846130371,2.1206912994384766,0.009602546691894531,0.008979558944702148,122.98046875,1
FedHST,FashionMNIST,0.5,0.9,0.999,12,0.6854553599357605,0.7293543841685249,74.27,30,100,54410,4.385565519332886,4.3730385303497314,0.012526988983154297,0.011927127838134766,122.98046875,1
FedHST,FashionMNIST,0.5,0.9,0.999,13,0.6874646472930909,0.7294525705711163,74.67,29,100,54410,4.079906702041626,4.067218542098999,0.012688159942626953,0.012053966522216797,122.98046875,1
FedHST,FashionMNIST,0.5,0.9,0.999,14,0.7049600583553314,0.7292319109444523,74.97,22,100,54410,3.5171353816986084,3.50701642036438,0.010118961334228516,0.00950312614440918,122.98046875,1
FedHST,FashionMNIST,0.5,0.9,0.999,15,0.6780240052700043,0.7359219938964712,76.21,28,100,54410,4.006607294082642,3.995239019393921,0.011368274688720703,0.010777473449707031,122.98046875,1
FedHST,FashionMNIST,0.5,0.9,0.999,16,0.64457342877388,0.748545552326122,77.45,28,100,54410,4.580965280532837,4.568186521530151,0.012778759002685547,0.012143611907958984,122.98046875,1
FedHST,FashionMNIST,0.5,0.9,0.999,17,0.6185066715717316,0.7637300633914841,78.18,26,100,54410,4.108152389526367,4.097870588302612,0.010281801223754883,0.009714603424072266,122.98046875,1
FedHST,FashionMNIST,0.5,0.9,0.999,18,0.5820757942199707,0.780681777405862,79.1,21,100,54410,2.9039294719696045,2.8946292400360107,0.00930023193359375,0.008771181106567383,122.98046875,1
FedHST,FashionMNIST,0.5,0.9,0.999,19,0.5529066819190979,0.7909152251330248,79.61,28,100,54410,4.528222322463989,4.515911340713501,0.012310981750488281,0.011703729629516602,122.98046875,1
FedHST,FashionMNIST,0.5,0.9,0.999,20,0.5176839891433715,0.8084350687789004,80.91,28,100,54410,3.762033700942993,3.7506277561187744,0.01140594482421875,0.010755538940429688,122.98046875,1
FedHST,FashionMNIST,0.5,0.9,0.999,21,0.5066569754123688,0.8150518600541388,81.27,24,100,54410,4.159825086593628,4.150064945220947,0.009760141372680664,0.009185552597045898,122.98046875,1
FedHST,FashionMNIST,0.5,0.9,0.999,22,0.50655225481987,0.8138666252748052,81.04,26,100,54410,3.845902442932129,3.8339006900787354,0.012001752853393555,0.011388540267944336,122.98046875,1
FedHST,FashionMNIST,0.5,0.9,0.999,23,0.5093752426624298,0.8151063398344235,81.54,28,100,54410,4.728904962539673,4.71843957901001,0.010465383529663086,0.009927511215209961,122.98046875,1
FedHST,FashionMNIST,0.5,0.9,0.999,24,0.5182035385131836,0.8037105021077989,80.93,23,100,54410,2.866135597229004,2.855949640274048,0.010185956954956055,0.009519815444946289,122.98046875,1
FedHST,FashionMNIST,0.5,0.9,0.999,25,0.5361487490653992,0.7938378973693394,80.32,29,100,54410,3.374851703643799,3.362964153289795,0.011887550354003906,0.011244058609008789,122.98046875,1
FedHST,FashionMNIST,0.5,0.9,0.999,26,0.5494209257125855,0.7815846287478531,80.17,26,100,54410,4.048722982406616,4.037423133850098,0.011299848556518555,0.010706901550292969,122.98046875,1
FedHST,FashionMNIST,0.5,0.9,0.999,27,0.5190411046028137,0.7890752110928277,81.23,27,100,54410,3.7931175231933594,3.7814652919769287,0.011652231216430664,0.01103663444519043,122.98046875,1
FedHST,FashionMNIST,0.5,0.9,0.999,28,0.4855683227300644,0.8083770979553624,82.73,30,100,54410,4.4603331089019775,4.448070287704468,0.012262821197509766,0.011676311492919922,122.98095703125,1
FedHST,FashionMNIST,0.5,0.9,0.999,29,0.4545705709218979,0.8251337625825824,83.71,25,100,54410,2.7262063026428223,2.714961290359497,0.011245012283325195,0.010606527328491211,122.98095703125,1
FedHST,FashionMNIST,0.5,0.9,0.999,30,0.44038991656303406,0.8375646912420519,84.49,28,100,54410,3.8416290283203125,3.8294336795806885,0.012195348739624023,0.01168203353881836,122.98095703125,1
FedHST,FashionMNIST,0.5,0.9,0.999,31,0.4283814289569855,0.8469777823208189,84.89,25,100,54410,3.1416423320770264,3.1317412853240967,0.009901046752929688,0.009351968765258789,122.98095703125,1
FedHST,FashionMNIST,0.5,0.9,0.999,32,0.4427565892219543,0.8417436877640576,83.88,25,100,54410,3.0644874572753906,3.05322265625,0.011264801025390625,0.01067972183227539,122.98095703125,1
FedHST,FashionMNIST,0.5,0.9,0.999,33,0.4572959424972534,0.8332103972297095,82.9,27,100,54410,4.361068964004517,4.348921775817871,0.012147188186645508,0.011492490768432617,122.98095703125,1
FedHST,FashionMNIST,0.5,0.9,0.999,34,0.4381771983146667,0.8444976077450377,84.14,29,100,54410,4.643036127090454,4.6308839321136475,0.01215219497680664,0.011565208435058594,122.98095703125,1
FedHST,FashionMNIST,0.5,0.9,0.999,35,0.42226391468048097,0.85202406350142,85.15,27,100,54410,3.855419158935547,3.844247341156006,0.011171817779541016,0.01054239273071289,122.98095703125,1
FedHST,FashionMNIST,0.5,0.9,0.999,36,0.4301086372852325,0.845027273282186,84.9,26,100,54410,4.212369441986084,4.200391530990601,0.011977910995483398,0.01137852668762207,122.98095703125,1
FedHST,FashionMNIST,0.5,0.9,0.999,37,0.44894379243850707,0.831820345259589,84.18,22,100,54410,3.828807830810547,3.8191754817962646,0.009632349014282227,0.008978605270385742,122.98095703125,1
FedHST,FashionMNIST,0.5,0.9,0.999,38,0.4844544508934021,0.8109484756232128,82.98,25,100,54410,3.0249075889587402,3.0138449668884277,0.0110626220703125,0.010464668273925781,122.98095703125,1
FedHST,FashionMNIST,0.5,0.9,0.999,39,0.5025978901863098,0.8005379327781613,82.22,27,100,54410,4.117216110229492,4.106766223907471,0.010449886322021484,0.009952545166015625,122.98095703125,1
FedHST,FashionMNIST,0.5,0.9,0.999,40,0.48065370309352873,0.8075637995317433,82.54,27,100,54410,3.865715265274048,3.853386640548706,0.012328624725341797,0.011669635772705078,122.98095703125,1
FedHST,FashionMNIST,0.5,0.9,0.999,41,0.43548375160694125,0.8315301921222046,84.13,26,100,54410,3.955214262008667,3.9432883262634277,0.011925935745239258,0.011312484741210938,122.98095703125,1
FedHST,FashionMNIST,0.5,0.9,0.999,42,0.4009013214588165,0.8536764050242851,85.75,28,100,54410,4.054280996322632,4.0414392948150635,0.01284170150756836,0.012224912643432617,122.98095703125,1
FedHST,FashionMNIST,0.5,0.9,0.999,43,0.3926986878156662,0.8598973621220825,85.91,26,100,54410,3.3471102714538574,3.33626127243042,0.0108489990234375,0.010280370712280273,122.98095703125,1
FedHST,FashionMNIST,0.5,0.9,0.999,44,0.40343897631168363,0.8557407316062718,85.36,29,100,54410,4.647402286529541,4.635913848876953,0.01148843765258789,0.010949134826660156,122.98095703125,1
FedHST,FashionMNIST,0.5,0.9,0.999,45,0.4144025996208191,0.8515468149623009,84.91,26,100,54410,2.6306276321411133,2.6199288368225098,0.010698795318603516,0.010117053985595703,122.98095703125,1
