Algorithm,Dataset,Gamma,Beta1,Beta2,Round,Global_Validation_Loss,F1_Score,Top1_Accuracy_Percent,Num_Selected_Clients,Num_Total_Clients,Num_Model_Params,Round_Time_Sec,Client_Time_Sec,Server_Time_Sec,Spatial_Var_Time_Sec,Peak_Memory_MB,Seed
FedHST,FashionMNIST,0.0,0.9,0.999,48,0.41141708694696427,0.8486274174807719,84.8,27,100,54410,4.415158033370972,4.4050188064575195,0.010139226913452148,0.009600162506103516,122.98095703125,42
FedHST,FashionMNIST,0.0,0.9,0.999,49,0.491277218079567,0.8137845359401752,81.52,25,100,54410,3.197115182876587,3.186187744140625,0.010927438735961914,0.01036214828491211,122.98095703125,42
FedHST,FashionMNIST,0.0,0.9,0.999,50,0.4547274294614792,0.8348885769317157,83.42,30,100,54410,4.078732967376709,4.065349102020264,0.013383865356445312,0.012691736221313477,122.98095703125,42
FedHST,FashionMNIST,0.1,0.9,0.999,1,2.04759655380249,0.1863357653169321,27.1,30,100,54410,4.978739976882935,4.966213226318359,0.012526750564575195,0.011923074722290039,122.7568359375,42
FedHST,FashionMNIST,0.1,0.9,0.999,2,1.4317325828552245,0.38442171622344046,45.02,26,100,54410,3.8241395950317383,3.812979221343994,0.01116037368774414,0.010548830032348633,122.7568359375,42
FedHST,FashionMNIST,0.1,0.9,0.999,3,1.1165764181137086,0.49381718837690747,56.79,30,100,54410,4.261946678161621,4.250485420227051,0.011461257934570312,0.010922908782958984,122.98046875,42
FedHST,FashionMNIST,0.1,0.9,0.999,4,1.0204364006042481,0.6144531958045905,65.42,23,100,54410,2.921795129776001,2.906717538833618,0.015077590942382812,0.013787269592285156,122.98046875,42
FedHST,FashionMNIST,0.1,0.9,0.999,5,0.8066916890144348,0.6987437472469425,71.5,26,100,54410,3.447559356689453,3.437481164932251,0.010078191757202148,0.009536981582641602,122.98046875,42
FedHST,FashionMNIST,0.1,0.9,0.999,6,0.8036901410102845,0.7051017285264686,71.46,24,100,54410,4.39377236366272,4.382887601852417,0.010884761810302734,0.01026463508605957,122.98046875,42
FedHST,FashionMNIST,0.1,0.9,0.999,7,0.9148701852798462,0.622583234018472,66.71,28,100,54410,4.6026904582977295,4.591175079345703,0.011515378952026367,0.01091313362121582,122.98046875,42
FedHST,FashionMNIST,0.1,0.9,0.999,8,0.9795006694793701,0.5594650853559513,62.06,24,100,54410,3.2173736095428467,3.2072646617889404,0.01010894775390625,0.009550809860229492,122.98046875,42
FedHST,FashionMNIST,0.1,0.9,0.999,9,0.932173363494873,0.6146848592918366,64.54,25,100,54410,3.0736405849456787,3.0633065700531006,0.010334014892578125,0.00976419448852539,122.98046875,42
FedHST,FashionMNIST,0.1,0.9,0.999,10,0.8311330801010132,0.6805868990330395,68.88,20,100,54410,2.5221054553985596,2.5126845836639404,0.00942087173461914,0.008830785751342773,122.98046875,42
FedHST,FashionMNIST,0.1,0.9,0.999,11,0.7284961986541748,0.734345844681806,74.26,20,100,54410,2.0743370056152344,2.0656063556671143,0.008730649948120117,0.00821685791015625,122.98046875,42
